Nomor,Kategori/Kelompok Pemeriksaan,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Example UCUM Units,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO)
1,Mikrobiologi Klinik,VDRL,Permintaan & Hasil,Serum,Ordinal,,Aglutinasi,5292-8,Reagin Ab [Presence] in Serum by VDRL,Reagin Ab,PrThr,Pt,Ser,Ord,VDRL,,http://loinc.org,1.0,2.73,1.0,1.0 
2,Mikrobiologi Klinik,VDRL,Permintaan & Hasil,Serum,Ordinal,,Flokulasi,5292-8,Reagin Ab [Presence] in Serum by VDRL,Reagin Ab,PrThr,Pt,Ser,Ord,VDRL,,http://loinc.org,1.0,2.73,1.0,1.0 
3,Mikrobiologi Klinik,VDRL Titer,Permintaan & Hasil,Serum,Quantitative,{titer},Aglutinasi,50690-7,Reagin Ab [Titer] in Serum by VDRL,Reagin Ab,Titr,Pt,Ser,SemiQn,VDRL,{titer},http://loinc.org,2.22,2.75,1.0,1.0
4,Mikrobiologi Klinik,Urea Breath Test (UBT),Permintaan & Hasil,Udara,Ordinal,,,29891-9,Helicobacter pylori [Presence] in Stomach by urea breath test,Carbon dioxide^post dose urea,PrThr,Pt,Exhl gas,Ord,,,http://loinc.org,2.04,2.73,1.0,1.0
5,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam darah ,Permintaan & Hasil,Darah,Nominal,,Acid fast stain,32699-1,Microscopic observation [Identifier] in Blood by Acid fast stain,Microscopic observation,Prid,Pt,Bld,Nom,Acid fast stain,,http://loinc.org,2.09,2.73,1.0,1.0
6,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam drain,Permintaan & Hasil,Drain ,Nominal,,Acid fast stain,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,Microscopic observation,Prid,Pt,XXX,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
7,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam kerokan kornea,Permintaan & Hasil,Kerokan kornea,Nominal,,Acid fast stain,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,Microscopic observation,Prid,Pt,XXX,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
8,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam feses,Permintaan & Hasil,Feses,Nominal,,Acid fast stain,11478-5,Microscopic observation [Identifier] in Stool by Acid fast stain,Microscopic observation,Prid,Pt,Stool,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
9,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam pus ,Permintaan & Hasil,Pus,Nominal,,Acid fast stain,11545-1,Microscopic observation [Identifier] in Specimen by Acid fast stain,Microscopic observation,Prid,Pt,XXX,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
10,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam sputum 1,Permintaan & Hasil,Sputum ,Nominal,,Acid fast stain,11477-7,Microscopic observation [Identifier] in Sputum by Acid fast stain,Microscopic observation,Prid,Pt,Sputum,Nom,Acid fast stain,,http://loinc.org,1.0j-a,2.73,1.0,1.0
11,Mikrobiologi Klinik,Pewarnaan bakteri tahan asam sputum 2,Permintaan & Hasil,Sputum ,Nominal,,Acid fast stain,94856-2,Microscopic observation [Presence] in Sputum by Acid fast stain --2nd specimen,Microscopic observation^2nd specimen,PrThr,Pt,Sputum,Ord,Acid fast stain,,http://loinc.org,2.68,2.68,1.0,1.0
