No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
1,MR (synthetic / DWI & FLAIR) + MRA nonkontras,Permintaan & Hasil,RD0992982,MR (synthetic / DWI & FLAIR) + MRA nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
2,MR (synthetic / DWI & FLAIR) + MRA nonkontras dengan anestesi,Permintaan & Hasil,RD0992983,MR (synthetic / DWI & FLAIR) + MRA nonkontras dengan anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
3,MR (synthetic / DWI & FLAIR) nonkontras,Permintaan & Hasil,RD0992981,MR (synthetic / DWI & FLAIR) nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
4,MR (synthetic / DWI & FLAIR) nonkontras dengan anestesi,Permintaan & Hasil,RD0992984,MR (synthetic / DWI & FLAIR) nonkontras dengan anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
5,MR 4D flow brain dengan kontras ,Permintaan & Hasil,RD0992922,MR 4D flow brain dengan kontras ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
6,MR 4D flow brain dengan kontras + anestesi,Permintaan & Hasil,RD0992923,MR 4D flow brain dengan kontras + anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
7,MR 4D flow brain nonkontras,Permintaan & Hasil,RD0992904,MR 4D flow brain nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
8,MR 4D flow brain nonkontras dengan anestesi,Permintaan & Hasil,RD0992905,MR 4D flow brain nonkontras dengan anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
9,MR abdomen atas + MRCP nonkontras,Permintaan & Hasil,RD0992985,MR abdomen atas + MRCP nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
10,MR abdomen atas + MRCP nonkontras dengan anestesi,Permintaan & Hasil ,RD0992986,MR abdomen atas + MRCP nonkontras dengan anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
11,MR abdomen atas dengan kontras,Permintaan & Hasil,36134-5,MR Abdomen W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen,Doc,MR,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct,2.14,2.61,1.0,1.0,13/02/2023,13/02/2023
12,MR abdomen atas dengan kontras + anestesi,Permintaan & Hasil ,RD0993181,MR abdomen atas dengan kontras + anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
13,MR abdomen atas dengan kontras + anestesi + MRCP ,Permintaan & Hasil ,RD0993183,MR abdomen atas dengan kontras + anestesi + MRCP ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
