No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
1,Appendicography,Permintaan & Hasil,69242-6,RF Guidance for percutaneous drainage of abscess and placement of drainage catheter of Appendix,Guidance for percutaneous drainage of abscess+placement of drainage catheter,Find,Pt,Abdomen+Pelvis>Appendix,Doc,RF,,http://loinc.org,,,,,,1.0,1.1,15/11/2023,17/01/2024
2,C-Arm guided intraoperatif,Permintaan & Hasil,25070-4,RF Unspecified body region Views during surgery,Views^during surgery,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,,1.0o,2.64,1.0,1.1,15/11/2023,17/01/2024
3,C-Arm guided intraoperatif dengan kontras,Permintaan & Hasil,RD0992895,C-Arm guided intraoperatif dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
4,C-Arm guided non-operatif,Permintaan & Hasil,86407-4,RF Guidance of Unspecified body region,Guidance,Find,Pt,XXX,Doc,RF,,http://loinc.org,,,,2.61,2.71,1.0,1.1,15/11/2023,17/01/2024
5,C-Arm guided non-operatif dengan kontras,Permintaan & Hasil,RD0992896,C-Arm guided non-operatif dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
6,Colon in loop releasae intususepsi,Permintaan & Hasil,24666-0,RF Colon Views W air and barium contrast PR,Views^W air contrast PR+W barium contrast PR,Find,Pt,Abdomen+Pelvis>Colon,Doc,RF,,http://loinc.org,,,,1.0o,2.64,1.0,1.1,15/11/2023,17/01/2024
7,DSA arteri renal dengan kontras,Permintaan & Hasil,25079-5,RFA Renal arteries Views W contrast IA,Views^W contrast IA,Find,Pt,Abdomen>Renal arteries,Doc,RF.angio,,http://loinc.org,273981006,Entire intrinsic artery of kidney,http://snomed.info/sct,1.00,2.64,1.0,1.1,13/02/2023,15/11/2023
8,DSA arteri vertebralis bilateral dengan kontras IV ,Permintaan & Hasil,37407-4,RFA Vertebral artery - bilateral Views W contrast IA,Views^W contrast IA,Find,Pt,Head+Neck>Vertebral artery.bilateral,Doc,RF.angio,,http://loinc.org,181323003,Entire vertebral artery,http://snomed.info/sct,2.14,2.64,1.0,1.1,13/02/2023,15/11/2023
9,DSA arteri vertebralis unilateral dengan kontras IV ,Permintaan & Hasil,86442-1,RFA Vertebral artery - unilateral Views W contrast IA,Views^W contrast IA,Find,Pt,Head+Neck>Vertebral artery.unilateral,Doc,RF.angio,,http://loinc.org,,,,2.61,2.64,1.0,1.1,13/02/2023,15/11/2023
10,DSA diagnostik angiografi perifer (ekstremitas),Permintaan & Hasil,94095-7,RFA Extremity vessels Unilateral Views W contrast IV,Views^W contrast IV,Find,Pt,Extremity.unilateral>Extremity vessels,Doc,RF.angio,,http://loinc.org,,,,2.67,2.67,1.0,1.1,13/02/2023,15/11/2023
