IDKategori,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System
1,Magnesium Ion,Permintaan & Hasil,Bld,Quantitative,mmol/L,,73572-0,Magnesium Ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE),Magnesium.ionized,SCnc,Pt,Bld,Qn,,mmol/L,http://loinc.org
1,AaDO2,Permintaan & Hasil,Darah arteri ,Quantitative,mmHg,,X099329,AaDO2,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,a/AO2,Permintaan & Hasil,Darah arteri ,Quantitative,%,,X099330,a/AO2,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,AaDO2 (t),Permintaan & Hasil,Darah arteri ,Quantitative,mmHg,,X099331,AaDO2 (t),,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,a/AO2 (t),Permintaan & Hasil,Darah arteri ,Quantitative,%,,X099332,a/AO2 (t),,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,PAO2 (t),Permintaan & Hasil,Darah arteri ,Quantitative,mmHg,,X099333,PAO2 (t),,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,RI (t),Permintaan & Hasil,Darah arteri ,Quantitative,%,,X099334,RI (t),,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,BEact,Permintaan & Hasil,Darah arteri ,Quantitative,mmol/L,,X099335,BEact,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,Jenis Sampel,Permintaan & Hasil,Darah arteri ,,,,X099336,Jenis Sampel,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
1,Temperatur,Permintaan & Hasil,Darah arteri ,Quantitative,0C,,X099337,Temperatur,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination
2,Hb,Permintaan & Hasil,Darah arteri ,Quantitative,g/dL,,30313-1,Hemoglobin [Mass/volume] in Arterial blood,Hemoglobin,MCnc,Pt,BldA,Qn,,g/dL,http://loinc.org
2,Hct,Permintaan & Hasil,Darah arteri ,Quantitative,%,,32354-3,Hematocrit [Volume Fraction] of Arterial blood,Hematocrit,VFr,Pt,BldA,Qn,,%,http://loinc.org
3,02Hb,Hasil ,Darah arteri ,Quantitative,%,,2714-4,Fractional oxyhemoglobin in Arterial blood,Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,%,http://loinc.org
3,COHb,Hasil ,Darah arteri ,Quantitative,%,,2030-5,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,%,http://loinc.org
3,MetHb,Hasil ,Darah arteri ,Quantitative,%,,2615-3,Methemoglobin/Hemoglobin.total in Arterial blood,Methemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,%,http://loinc.org
3,RHb (HHb),Hasil ,Darah arteri ,Quantitative,%,,19225-2,Deoxyhemoglobin/Hemoglobin.total in Arterial blood,Deoxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,%,http://loinc.org
3,Hb,Permintaan & Hasil,Darah arteri ,Quantitative,g/dL,,30313-1,Hemoglobin [Mass/volume] in Arterial blood,Hemoglobin,MCnc,Pt,BldA,Qn,,g/dL,http://loinc.org
3,Hct,Permintaan & Hasil,Darah arteri ,Quantitative,%,,32354-3,Hematocrit [Volume Fraction] of Arterial blood,Hematocrit,VFr,Pt,BldA,Qn,,%,http://loinc.org
3,Ph,Permintaan & Hasil,Darah arteri ,Quantitative,[pH],,2744-1,pH of Arterial blood,pH,LsCnc,Pt,BldA,Qn,,[pH],http://loinc.org
3,pCO2,Permintaan & Hasil,Darah arteri ,Quantitative,mm[Hg],,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,Carbon dioxide,PPres,Pt,BldA,Qn,,mm[Hg],http://loinc.org
3,pO2,Permintaan & Hasil,Darah arteri ,Quantitative,mm[Hg],,2703-7,Oxygen [Partial pressure] in Arterial blood,Oxygen,PPres,Pt,BldA,Qn,,mm[Hg],http://loinc.org
3,HCO3,Permintaan & Hasil,Darah arteri ,Quantitative,mmol/L,,1960-4,Bicarbonate [Moles/volume] in Arterial blood,Bicarbonate,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,pCO2,Permintaan & Hasil,Darah arteri ,Quantitative,mmol/L,,2026-3,"Carbon dioxide, total [Moles/volume] in Arterial blood",Carbon dioxide,SCnc,Pt,BldA,Qn,,mmol/L,http://loinc.org
3,Actual BE (Blood),Hasil ,Darah arteri ,Quantitative,mmol/L,Calculated,1925-7,Base excess in Arterial blood by calculation,Base excess,SCnc,Pt,BldA,Qn,Calculated,mmol/L,http://loinc.org
3,Standard BE (ecf),Hasil ,Darah arteri ,Quantitative,mmol/L,Calculated,19235-1,Base excess standard in Arterial blood by calculation,Base excess^^standard,SCnc,Pt,BldA,Qn,Calculated,mmol/L,http://loinc.org
