IDKategori,Nama Pemeriksaan ,Permintaan/Hasil,Code ,Long Common Name,Component,Property,Timing,System,Scale,Method,Class,Unit,Order/Observation,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date,
46,NM renogram/GFR,Permintaan & Hasil,24776-7,NM Kidney Views,Views^W radionuclide IV,Find,Pt,Abdomen>Kidney,Doc,NM,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
46,NM Salivary scan,Permintaan & Hasil,39747-1,NM Salivary gland Views,Views^W radionuclide IV,Find,Pt,Head>Salivary gland,Doc,NM,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD),Permintaan,83311-1,Bone density quantitative measurement by DXA panel,Bone density quantitative measurement panel,-,Pt,Whole body>Skeletal system,Qn,DXA,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) vertebra lumbal (g/cm2),Hasil,24966-4,DXA Lumbar spine [Mass/Area] Bone density,Views for bone density,ArMass,Pt,Abdomen>Spine.lumbar,Qn,DXA,,g/cm2,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) vertebra lumbal (T-score),Hasil,38267-1,DXA Lumbar spine [T-score] Bone density,Views for bone density,Tscore,Pt,Abdomen>Spine.lumbar,Qn,DXA,,{T-score},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) vertebra lumbal (Z-score),Hasil,85394-5,DXA Lumbar spine [Z-score] Bone density,Views for bone density,Zscore,Pt,Abdomen>Spine.lumbar,Qn,DXA,,{Zscore},,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) total body composition WO kontras,Permintaan & Hasil,63520-1,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,-,Pt,^Patient,-,PhenX,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) tulang aksial dan fraktur vertebra,Permintaan & Hasil,83014-1,DXA Skeletal system.axial Views for bone density and vertebral fracture,Views for bone density+vertebral fracture,Find,Pt,Whole body>Skeletal system.axial,Doc,DXA,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) tulang axial,Permintaan & Hasil,83012-5,DXA Skeletal system.axial Views for bone density,Views for bone density,Find,Pt,Whole body>Skeletal system.axial,Doc,DXA,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
44,Bone mineral densitometry (BMD) tulang periferal,Permintaan & Hasil,83013-3,DXA Skeletal system.peripheral Views for bone density,Views for bone density,Find,Pt,Whole body>Skeletal system.peripheral,Doc,DXA,,,,http://loinc.org,,,1.0,1.0,2/13/2023,2/13/2023,
