Nomor,Kategori Pemeriksaan ,Spesimen ,Nama Pemeriksaan ,Permintaan/Hasil,Tipe Hasil Pemeriksaan,Kode ,Nama Pemeriksaan ,Code System ,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
1,Sitologi ,Aspirat,Sitologi aspirat,Permintaan & Hasil,Naratif ,PA099395,Sitologi aspirat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
2,Sitologi ,Bronchoalveolar lavage,Sitologi bronchoalveolar lavage,Permintaan & Hasil,Naratif ,PA099396,Sitologi bronchoalveolar lavage,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
3,Sitologi ,Bronkus,Sitologi bronkus,Permintaan & Hasil,Naratif ,PA099397,Sitologi bronkus,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
4,Sitologi ,Cairan amnion,Sitologi cairan amnion,Permintaan & Hasil,Naratif ,PA099398,Sitologi cairan amnion,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
5,Sitologi ,Cairan duodenum,Sitologi cairan duodenum,Permintaan & Hasil,Naratif ,PA099399,Sitologi cairan duodenum,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
6,Sitologi ,Cairan empedu,Sitologi cairan empedu,Permintaan & Hasil,Naratif ,PA099400,Sitologi cairan empedu,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
7,Sitologi ,Cairan mata,Sitologi cairan mata,Permintaan & Hasil,Naratif ,PA099401,Sitologi cairan mata,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
8,Sitologi ,Cairan otak,Sitologi cairan otak,Permintaan & Hasil,Naratif ,PA099402,Sitologi cairan otak,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
9,Sitologi ,Cairan perikardial,Sitologi cairan perikardial,Permintaan & Hasil,Naratif ,PA099403,Sitologi cairan perikardial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
10,Sitologi ,Cairan peritoneal,Sitologi cairan peritoneal,Permintaan & Hasil,Naratif ,PA099404,Sitologi cairan peritoneal,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
11,Sitologi ,Cairan pleura,Sitologi cairan pleura,Permintaan & Hasil,Naratif ,PA099405,Sitologi cairan pleura,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
12,Sitologi ,Cairan sinovial,Sitologi cairan sinovial,Permintaan & Hasil,Naratif ,PA099406,Sitologi cairan sinovial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
13,Sitologi ,Cairan tubuh,Sitologi cairan tubuh,Permintaan & Hasil,Naratif ,PA099407,Sitologi cairan tubuh,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
14,Sitologi ,Cairan vagina,Sitologi cairan vagina,Permintaan & Hasil,Naratif ,PA099408,Sitologi cairan vagina,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
15,Sitologi ,Serum/Plasma,Sitologi serum/Plasma,Permintaan & Hasil,Naratif ,PA099409,Sitologi serum/Plasma,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
16,Sitologi ,Genital,Sitologi genital,Permintaan & Hasil,Naratif ,PA099410,Sitologi genital,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
17,Sitologi ,Hidung,Sitologi hidung,Permintaan & Hasil,Naratif ,PA099411,Sitologi hidung,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
18,Sitologi ,Jaringan,Sitologi jaringan,Permintaan & Hasil,Naratif ,PA099412,Sitologi jaringan,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
19,Sitologi ,Kerongkongan,Sitologi kerongkongan,Permintaan & Hasil,Naratif ,PA099413,Sitologi kerongkongan,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
20,Sitologi ,Kulit,Sitologi kulit,Permintaan & Hasil,Naratif ,PA099414,Sitologi kulit,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
21,Sitologi ,Mulut,Sitologi mulut,Permintaan & Hasil,Naratif ,PA099416,Sitologi mulut,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
22,Sitologi ,Nasofaring,Sitologi nasofaring,Permintaan & Hasil,Naratif ,PA099417,Sitologi nasofaring,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
23,Sitologi ,Penis,Sitologi penis,Permintaan & Hasil,Naratif ,PA099418,Sitologi penis,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
24,Sitologi ,Plasenta,Sitologi plasenta,Permintaan & Hasil,Naratif ,PA099419,Sitologi plasenta,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
25,Sitologi ,Pus,Sitologi pus,Permintaan & Hasil,Naratif ,PA099420,Sitologi pus,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
26,Sitologi ,Serviks,Sitologi serviks,Permintaan & Hasil,Naratif ,PA099421,Sitologi serviks,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
27,Sitologi ,Spesimen pernapasan atas,Sitologi spesimen pernapasan atas,Permintaan & Hasil,Naratif ,PA099422,Sitologi spesimen pernapasan atas,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
28,Sitologi ,Sputum,Sitologi sputum,Permintaan & Hasil,Naratif ,PA099423,Sitologi sputum,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
29,Sitologi ,Sumsum tulang,Sitologi sumsum tulang,Permintaan & Hasil,Naratif ,PA099424,Sitologi sumsum tulang,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
30,Sitologi ,Telinga,Sitologi telinga,Permintaan & Hasil,Naratif ,PA099425,Sitologi telinga,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
31,Sitologi ,Uretra,Sitologi uretra,Permintaan & Hasil,Naratif ,PA099426,Sitologi uretra,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
32,Sitologi ,Urine,Sitologi urine,Permintaan & Hasil,Naratif ,PA099427,Sitologi urine,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
33,Sitologi ,Cairan tubuh lainnya,Sitologi lain-lain,Permintaan & Hasil,Naratif ,PA099428,Sitologi lain-lain,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
34,FNAB,Jaringan saraf pusat ,FNAB jaringan saraf pusat ,Permintaan & Hasil,Naratif ,PA099429,FNAB jaringan saraf pusat ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
