No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
1,CT abdomen atas dengan kontras multifase + anestesi,Permintaan & Hasil,RD0993341,CT abdomen atas dengan kontras multifase + anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
3,CT abdomen atas dengan kontras multifase,Permintaan & Hasil,RD0994263,CT abdomen atas multifase dengan kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
4,CT abdomen atas nonkontras,Permintaan & Hasil,36424-0,CT Abdomen WO contrast,Multisection^WO contrast,Find,Pt,Abdomen,Doc,CT,,http://loinc.org,80581009,Upper abdomen structure,http://snomed.info/sct,,,1.0,1.0,2/13/2023,2/13/2023
5,CT abdomen dan pelvis dengan kontras IV,Permintaan & Hasil,36813-4,CT Abdomen and Pelvis W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
6,CT abdomen dan pelvis dengan kontras PO,Permintaan & Hasil,99610-8,CT Abdomen and Pelvis W contrast PO,Multisection^W contrast PO,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
7,CT abdomen dan pelvis nonkontras,Permintaan & Hasil,36952-0,CT Abdomen and Pelvis WO contrast,Multisection^WO contrast,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
8,CT abdomen dan pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,42274-1,CT Abdomen and Pelvis WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen+Pelvis,Doc,CT,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
10,CT abdomen lengkap dengan kontras + virtual colonoscopy + anestesi ,Permintaan & Hasil,RD0993348,CT abdomen lengkap dengan kontras + virtual colonoscopy + anestesi ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
11,CT abdomen lengkap dengan kontras + virtual colonoscopy ,Permintaan & Hasil,RD0993347,CT abdomen lengkap dengan kontras + virtual colonoscopy ,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
12,CT abdomen lengkap dengan kontras + volumetri + virtual colonoscopy  + anestesi,Permintaan & Hasil,RD0993350,CT abdomen lengkap dengan kontras + volumetri + virtual colonoscopy  + anestesi,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.2,06/05/2024,06/05/2024
