No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
1,Automated breast scanner,Permintaan & Hasil,RD0992890,Automated breast scanner,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
2,Automated breast scanner + US mammae,Permintaan & Hasil,RD0992891,Automated breast scanner + US mammae,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
3,Contrast enhanced mammography,Permintaan & Hasil,X099271,Contrast enhanced mammography,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,119184005,Breast part,http://snomed.info/sct,,,1.0,1.1,13/02/2023,15/11/2023
4,Mammografi + US mammae,Permintaan & Hasil,RD0992901,Mammografi + US mammae,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
5,Mamografi dengan kontras intravena,Permintaan & Hasil,RD0992902,Mamografi dengan kontras intravena,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
6,Marking US,Permintaan & Hasil,RD0992903,Marking US,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,,,,1.0,1.1,15/11/2023,17/01/2024
7,MG bilateral,Permintaan & Hasil,36626-0,MG Breast - bilateral Views,Views,Find,Pt,Breast.bilateral,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
8,MG duktogram dengan kontras ID lebih dari satu duktus payudara,Permintaan & Hasil,39148-2,MG Breast duct Views W contrast intra multiple ducts,Views^W contrast intra multiple ducts,Find,Pt,Breast>Breast duct,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
9,MG duktogram dengan kontras ID satu duktus payudara,Permintaan & Hasil,39054-2,MG Breast duct Views W contrast intra duct,Views^W contrast intra duct,Find,Pt,Breast>Breast duct,Doc,MG,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
10,MG guidance stereotaktik untuk biopsi payudara atau penempatan jarum,Permintaan & Hasil,24603-3,MG stereo Guidance for biopsy of Breast,Guidance for percutaneous biopsy,Find,Pt,Breast,Doc,MG.stereotactic,,http://loinc.org,,,,,,1.0,1.0,2/13/2023,2/13/2023
