No,Nama Pemeriksaan,Permintaan/Hasil,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System,BodySite Code,BodySite Display,BodySite CodeSystem,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
1,XR abdomen 1 proyeksi,Permintaan & Hasil,36550-2,XR Abdomen Single view,View,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,2.14,2.64,1.0,1.0,2/13/2023,2/13/2023
2,XR abdomen AP,Permintaan & Hasil,24799-9,XR Abdomen AP,View AP,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,1.0o,2.73,1.0,1.0,2/13/2023,2/13/2023
3,XR abdomen AP oblique dan cone,Permintaan & Hasil,83016-6,XR Abdomen GE 3 Views AP and Oblique and Cone,Views GE 3 AP + oblique + cone,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,2.58,2.61,1.0,1.0,2/13/2023,2/13/2023
4,XR abdomen dan thorax babygram,Permintaan & Hasil,83019-0,XR Chest and Abdomen and Pelvis View babygram,View babygram,Find,Pt,Chest+Abdomen+Pelvis,Doc,XR,,http://loinc.org,,,,2.58,2.61,1.0,1.0,2/13/2023,2/13/2023
5,XR abdomen dua proyeksi,Permintaan & Hasil,36641-9,XR Abdomen 2 Views,Views 2,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
6,XR abdomen lengkap proyeksi erect dan dekubitus,Permintaan & Hasil,42019-0,XR Abdomen upright and left lateral decubitus,Views upright + L-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,2.16,2.73,1.0,1.0,2/13/2023,2/13/2023
7,"XR abdomen lengkap proyeksi supine, erect, dan lateral dekubitus",Permintaan & Hasil,94679-8,XR Chest Single View and Abdomen Supine and Upright and Lateral-decubitus,View && Views supine + upright + lateral-decubitus,Find,Pt,Chest && Abdomen,Doc,XR,,http://loinc.org,,,,2.68,2.69,1.0,1.0,2/13/2023,2/13/2023
8,XR abdomen LLD (Left Lateral Decubitus),Permintaan & Hasil,24561-3,XR Abdomen AP left lateral-decubitus,View AP L-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,1.0o,2.61,1.0,1.0,2/13/2023,2/13/2023
9,XR abdomen polos dengan sonde (BNO dengan sonde),Permintaan & Hasil,36550-2,XR Abdomen Single view,View,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,2.14,2.64,1.0,1.1,15/11/2023,17/01/2024
10,XR abdomen RLD (Right Lateral Decubitus),Permintaan & Hasil,24563-9,XR Abdomen AP right lateral-decubitus,View AP R-lateral-decubitus,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,1.0o,2.61,1.0,1.0,2/13/2023,2/13/2023
11,XR abdomen tiga proyeksi,Permintaan & Hasil,36293-9,XR Abdomen 3 Views,Views 3,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
12,XR ankle AP dan lateral kanan,Permintaan & Hasil,37667-3,XR Ankle - right AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
13,XR ankle AP dan lateral kiri,Permintaan & Hasil,36685-6,XR Ankle - left AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
14,"XR ankle AP, lateral dan mortis",Permintaan & Hasil,37095-7,XR Ankle AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
15,"XR ankle AP, lateral dan mortis bilateral",Permintaan & Hasil,37096-5,XR Ankle - bilateral AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity.bilateral>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
16,"XR ankle AP, lateral dan mortise kanan",Permintaan & Hasil,37666-5,XR Ankle - right AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
17,"XR ankle AP, lateral dan mortise kiri",Permintaan & Hasil,37097-3,XR Ankle - left AP and Lateral and Mortise,Views AP + lateral + Mortise,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
18,XR ankle bilateral dua proyeksi,Permintaan & Hasil,26385-5,XR Ankle - bilateral 2 Views,Views 2,Find,Pt,Lower extremity.bilateral>Ankle,Doc,XR,,http://loinc.org,,,,2.00,2.73,1.0,1.0,2/13/2023,2/13/2023
19,XR ankle dua proyeksi,Permintaan & Hasil,24540-7,XR Ankle 2 Views,Views 2,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,,1.0o,2.61,1.0,1.0,2/13/2023,2/13/2023
20,XR ankle dua proyeksi kanan,Permintaan & Hasil,26387-1,XR Ankle - right 2 Views,Views 2,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,,2.00,2.61,1.0,1.0,2/13/2023,2/13/2023
21,XR ankle dua proyeksi kiri,Permintaan & Hasil,26386-3,XR Ankle - left 2 Views,Views 2,Find,Pt,Lower extremity.left>Ankle,Doc,XR,,http://loinc.org,,,,2.00,2.73,1.0,1.0,2/13/2023,2/13/2023
22,XR ankle lengkap minimal tiga proyeksi,Permintaan & Hasil,44210-3,XR Ankle GE 3 Views,Views GE 3,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,,2.17,2.61,1.0,1.0,2/13/2023,2/13/2023
23,XR ankle mortise kanan,Permintaan & Hasil,37007-2,XR Ankle Mortise,View Mortise,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,6685009,Structure of right ankle,http://snomed.info/sct,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
24,XR ankle mortise kiri,Permintaan & Hasil,37007-2,XR Ankle Mortise,View Mortise,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,51636004,Structure of left ankle,http://snomed.info/sct,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
25,XR ankle tiga proyeksi,Permintaan & Hasil,36294-7,XR Ankle 3 Views,Views 3,Find,Pt,Lower extremity>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
26,XR ankle tiga proyeksi bilateral,Permintaan & Hasil,36295-4,XR Ankle - bilateral 3 Views,Views 3,Find,Pt,Lower extremity.bilateral>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
27,XR ankle tiga proyeksi kanan,Permintaan & Hasil,37665-7,XR Ankle - right 3 Views,Views 3,Find,Pt,Lower extremity.right>Ankle,Doc,XR,,http://loinc.org,,,,2.14,2.61,1.0,1.0,2/13/2023,2/13/2023
